CIK;LatestCompanyName;NameChanged;NameVariants;AllNames
0000023111;COMPUTER TASK GROUP INC;FALSE;1;COMPUTER TASK GROUP INC
0000023194;COMSTOCK RESOURCES INC;FALSE;1;COMSTOCK RESOURCES INC
0000023197;COMTECH TELECOMMUNICATIONS CORP /DE/;FALSE;1;COMTECH TELECOMMUNICATIONS CORP /DE/
0000023217;CONAGRA BRANDS INC.;TRUE;2;CONAGRA BRANDS INC. | CONAGRA FOODS INC /DE/
0000023341;CONGOLEUM CORP;FALSE;1;CONGOLEUM CORP
0000023426;CONNECTICUT LIGHT & POWER CO;FALSE;1;CONNECTICUT LIGHT & POWER CO
0000023503;CONOLOG CORP;FALSE;1;CONOLOG CORP
0000023632;CONSOLIDATED EDISON CO OF NEW YORK INC;FALSE;1;CONSOLIDATED EDISON CO OF NEW YORK INC
0000023666;Hillshire Brands Co;TRUE;2;Hillshire Brands Co | Sara Lee Corp
0000023675;Con-way Inc.;FALSE;1;Con-way Inc.
0000023795;CTO Realty Growth, Inc.;TRUE;2;CONSOLIDATED TOMOKA LAND CO | CTO Realty Growth, Inc.
0000024090;CITIZENS, INC.;TRUE;2;CITIZENS INC | CITIZENS, INC.
0000024104;CONTINENTAL MATERIALS CORP;FALSE;1;CONTINENTAL MATERIALS CORP
0000024491;COOPER TIRE & RUBBER CO;FALSE;1;COOPER TIRE & RUBBER CO
0000024545;MOLSON COORS BEVERAGE CO;TRUE;2;MOLSON COORS BEVERAGE CO | MOLSON COORS BREWING CO
0000024741;CORNING INC /NY;FALSE;1;CORNING INC /NY
0000024751;CORNING NATURAL GAS CORP;FALSE;1;CORNING NATURAL GAS CORP
0000025212;COURIER Corp;TRUE;2;COURIER CORP | COURIER Corp
0000025232;COUSINS PROPERTIES INC;FALSE;1;COUSINS PROPERTIES INC
0000025354;CPI CORP;FALSE;1;CPI CORP
0000025445;Crane Holdings, Co.;TRUE;2;CRANE CO /DE/ | Crane Holdings, Co.
0000025475;CRAWFORD & CO;FALSE;1;CRAWFORD & CO
0000025598;ONEMAIN FINANCE CORP;TRUE;3;AMERICAN GENERAL FINANCE CORP | ONEMAIN FINANCE CORP | SPRINGLEAF FINANCE CORP
0000025600;SPRINGLEAF FINANCE INC;TRUE;2;AMERICAN GENERAL FINANCE INC | SPRINGLEAF FINANCE INC
0000025743;TherapeuticsMD, Inc.;TRUE;2;AMHN, Inc. | TherapeuticsMD, Inc.
0000025793;CROSS A T CO;FALSE;1;CROSS A T CO
0000025895;CROWN CRAFTS INC;FALSE;1;CROWN CRAFTS INC
0000026058;CTS CORP;FALSE;1;CTS CORP
0000026076;CUBIC CORP /DE/;FALSE;1;CUBIC CORP /DE/
0000026172;CUMMINS INC;FALSE;1;CUMMINS INC
0000026324;CURTISS WRIGHT CORP;FALSE;1;CURTISS WRIGHT CORP
0000026780;DANA INC;TRUE;2;DANA HOLDING CORP | DANA INC
0000026820;PHOENIX FOOTWEAR GROUP INC;FALSE;1;PHOENIX FOOTWEAR GROUP INC
0000027093;U.S. GOLD CORP.;TRUE;2;DATARAM CORP | U.S. GOLD CORP.
0000027367;DAXOR CORP;FALSE;1;DAXOR CORP
0000027419;TARGET CORP;FALSE;1;TARGET CORP
0000027430;DAYTON POWER & LIGHT CO;FALSE;1;DAYTON POWER & LIGHT CO
