Word;Seq_num;Word Count;Word Proportion;Average Proportion;Std Dev;Doc Count;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables;Source
ABORIGINE;167;5;1.957000145505583e-10;7.57290547488852e-10;5.105617334583356e-07;4;0;0;0;0;0;0;0;0;5;12of12inf
ABORIGINES;168;53;2.0744201542359183e-09;3.117843913265157e-09;6.97389204011035e-07;41;0;0;0;0;0;0;0;0;5;12of12inf
ABORNING;169;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABORT;170;1100;4.305400320112283e-08;3.255620488183439e-08;2.410968944956277e-06;633;0;0;0;0;0;0;0;0;2;12of12inf
ABORTED;171;3728;1.459139308488963e-07;2.5845002004673076e-07;1.1286839878451027e-05;2367;0;0;0;0;0;0;0;0;3;12of12inf
ABORTING;172;75;2.9355002182583747e-09;2.058705150519559e-09;4.940951788399845e-07;38;0;0;0;0;0;0;0;0;3;12of12inf
ABORTION;173;935;3.6595902720954403e-08;1.629993490402882e-08;1.2445225214082294e-06;468;0;0;0;0;0;0;0;0;3;12of12inf
ABORTIONIST;174;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABORTIONISTS;175;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABORTIONS;176;501;1.9609141457965945e-08;5.51747829141597e-09;6.73868420405104e-07;171;0;0;0;0;0;0;0;0;3;12of12inf
ABORTIVE;177;258;1.0098120750808809e-08;9.8570036283068e-09;1.3470123662389708e-06;152;0;0;0;0;0;0;0;0;3;12of12inf
ABORTIVELY;178;1;3.914000291011166e-11;7.228310548203671e-11;7.998663725565776e-08;1;0;0;0;0;0;0;0;0;4;12of12inf
ABORTS;179;84;3.2877602444493798e-09;2.8996759920117717e-09;8.536631502458463e-07;68;0;0;0;0;0;0;0;0;2;12of12inf
ABOUND;180;518;2.0274521507437842e-08;2.5514573018620703e-08;1.9516485625816574e-06;468;0;0;0;0;0;0;0;0;2;12of12inf
ABOUNDED;181;26;1.0176400756629032e-09;1.3800410121237915e-09;3.3875529011108293e-07;26;0;0;0;0;0;0;0;0;3;12of12inf
ABOUNDING;182;51;1.996140148415695e-09;1.1927184129636284e-09;2.412717750725614e-07;34;0;0;0;0;0;0;0;0;3;12of12inf
ABOUNDS;183;134;5.244760389954963e-09;4.512155865281658e-09;6.792365900609987e-07;122;0;0;0;0;0;0;0;0;2;12of12inf
ABOUT;184;9370553;0.0003667634716893556;0.0004745710326917047;0.0004118649121672613;1061304;0;0;0;0;0;0;0;0;2;12of12inf
